NAME                                                                                 VERSION                                             TYPE
8852be                                                                               v1.19.11-248-gf8ef8b7d8.20250221_Certified_Module   linux-kernel-module
acpi-support-base                                                                    0.143-5.1                                           deb
acpid                                                                                1:2.0.33-2+b1                                       deb
adduser                                                                              3.134                                               deb
advantech/powersuitebackend                                                          v2.0.9                                              go-module
advantech/powersuitechecker                                                          UNKNOWN                                             go-module
advantech/powersuitelauncher                                                         v2.0.1_TBD                                          go-module            (+1 duplicate)
adwaita-icon-theme                                                                   43-1                                                deb
alsa-topology-conf                                                                   1.2.5.1-2                                           deb
alsa-utils                                                                           1.2.8-1                                             deb
anacron                                                                              2.3-36                                              deb
apipkg                                                                               2.0.0                                               python
apt                                                                                  2.6.1                                               deb
apt-transport-https                                                                  2.6.1                                               deb
apt-utils                                                                            2.6.1                                               deb
argcomplete                                                                          2.0.0                                               python
at                                                                                   3.2.5-1+b1                                          deb
at-spi2-common                                                                       2.46.0-5                                            deb
attrs                                                                                22.2.0                                              python
base-files                                                                           12.4+deb12u13                                       deb
base-passwd                                                                          3.6.1                                               deb
bash                                                                                 5.2.15-2+b10                                        deb
bash-completion                                                                      1:2.11-6                                            deb
bcmdhd                                                                               UNKNOWN                                             linux-kernel-module
bcmdhd_pcie                                                                          UNKNOWN                                             linux-kernel-module
binfmt-support                                                                       2.2.2-2                                             deb
binutils                                                                             2.40-2                                              deb
binutils-aarch64-linux-gnu                                                           2.40-2                                              deb
binutils-common                                                                      2.40-2                                              deb
blinker                                                                              1.5                                                 python
bloom                                                                                0.13.0                                              python
blueman                                                                              2.3.5-2                                             deb
blueman-dbgsym                                                                       2.3.5-2                                             deb
bluez                                                                                5.66-1+deb12u2                                      deb
bluez-alsa-utils                                                                     4.0.0-2                                             deb
bluez-hcidump                                                                        5.66-1+deb12u2                                      deb
bluez-obexd                                                                          5.66-1+deb12u2                                      deb
bsdextrautils                                                                        2.38.1-5+deb12u3                                    deb
bsdmainutils                                                                         12.1.8                                              deb
bsdutils                                                                             1:2.38.1-5+deb12u3                                  deb
bubblewrap                                                                           0.8.0-2+deb12u1                                     deb
build-essential                                                                      12.9                                                deb
busybox                                                                              1:1.35.0-4+b7                                       deb
bzip2                                                                                1.0.8-5+b1                                          deb
ca-certificates                                                                      20230311+deb12u1                                    deb
camera-engine-rkaiq                                                                  6.32.0                                              deb
can-utils                                                                            2020.11.0-1                                         deb
catkin-pkg                                                                           1.1.0                                               python
catkin-pkg-modules                                                                   1.1.0                                               python
cel.dev/expr                                                                         v0.24.0                                             go-module
cel.dev/expr                                                                         v0.25.1                                             go-module
certifi                                                                              2022.9.24                                           python
chardet                                                                              5.1.0                                               python
charset-normalizer                                                                   3.0.1                                               python
cheese                                                                               43.0-1                                              deb
cheese-common                                                                        43.0-1                                              deb
cheese-dbgsym                                                                        43.0-1                                              deb
chromium-x11                                                                         132.0.6834.83                                       deb
cloud.google.com/go                                                                  v0.121.6                                            go-module
cloud.google.com/go                                                                  v0.123.0                                            go-module
cloud.google.com/go/auth                                                             v0.18.0                                             go-module
cloud.google.com/go/auth                                                             v0.18.1                                             go-module
cloud.google.com/go/auth/oauth2adapt                                                 v0.2.8                                              go-module            (+1 duplicate)
cloud.google.com/go/compute/metadata                                                 v0.2.3                                              go-module
cloud.google.com/go/compute/metadata                                                 v0.9.0                                              go-module            (+1 duplicate)
cloud.google.com/go/iam                                                              v1.5.3                                              go-module            (+1 duplicate)
cloud.google.com/go/logging                                                          v1.8.1                                              go-module
cloud.google.com/go/longrunning                                                      v0.5.2                                              go-module
cloud.google.com/go/monitoring                                                       v1.24.3                                             go-module            (+1 duplicate)
cloud.google.com/go/storage                                                          v1.57.1                                             go-module
cloud.google.com/go/storage                                                          v1.60.0                                             go-module
cmake                                                                                3.25.1-1                                            deb
cmake-data                                                                           3.25.1-1                                            deb
code.cloudfoundry.org/clock                                                          v1.1.0                                              go-module
colcon-argcomplete                                                                   0.3.3                                               python
colcon-bash                                                                          0.5.0                                               python
colcon-cd                                                                            0.2.1                                               python
colcon-cmake                                                                         0.2.29                                              python
colcon-common-extensions                                                             0.3.0                                               python
colcon-core                                                                          0.20.1                                              python
colcon-defaults                                                                      0.2.9                                               python
colcon-devtools                                                                      0.3.0                                               python
colcon-distutils-commands                                                            0.0.0                                               python
colcon-library-path                                                                  0.2.1                                               python
colcon-metadata                                                                      0.2.5                                               python
colcon-mixin                                                                         0.2.3                                               python
colcon-notification                                                                  0.3.0                                               python
colcon-output                                                                        0.2.13                                              python
colcon-package-information                                                           0.4.0                                               python
colcon-package-selection                                                             0.2.10                                              python
colcon-parallel-executor                                                             0.3.0                                               python
colcon-pkg-config                                                                    0.1.0                                               python
colcon-powershell                                                                    0.4.0                                               python
colcon-python-setup-py                                                               0.2.9                                               python
colcon-recursive-crawl                                                               0.2.3                                               python
colcon-ros                                                                           0.5.0                                               python
colcon-test-result                                                                   0.3.8                                               python
colcon-zsh                                                                           0.5.0                                               python
console-setup                                                                        1.221                                               deb
console-setup-linux                                                                  1.221                                               deb
containerd.io                                                                        1.6.32-1                                            deb
coreutils                                                                            9.1-1                                               deb
coverage                                                                             6.5.0                                               python
cpio                                                                                 2.13+dfsg-7.1                                       deb
cpp                                                                                  4:12.2.0-3                                          deb
cpp-12                                                                               12.2.0-14+deb12u1                                   deb
cpufrequtils                                                                         008-2                                               deb
cron                                                                                 3.0pl1-162                                          deb
cron-daemon-common                                                                   3.0pl1-162                                          deb
cryptography                                                                         38.0.4                                              python               (+1 duplicate)
curl                                                                                 7.88.1-10+deb12u14                                  deb
dario.cat/mergo                                                                      v1.0.0                                              go-module            (+2 duplicates)
dario.cat/mergo                                                                      v1.0.2                                              go-module            (+1 duplicate)
dash                                                                                 0.5.12-2                                            deb
dbus                                                                                 1.14.10-1~deb12u1                                   deb
dbus-bin                                                                             1.14.10-1~deb12u1                                   deb
dbus-daemon                                                                          1.14.10-1~deb12u1                                   deb
dbus-python                                                                          1.3.2                                               python
dbus-session-bus-common                                                              1.14.10-1~deb12u1                                   deb
dbus-system-bus-common                                                               1.14.10-1~deb12u1                                   deb
dbus-x11                                                                             1.14.10-1~deb12u1                                   deb
dconf-cli                                                                            0.40.0-4                                            deb
dconf-gsettings-backend                                                              0.40.0-4                                            deb
dconf-service                                                                        0.40.0-4                                            deb
debconf                                                                              1.5.82                                              deb
debian-archive-keyring                                                               2023.3+deb12u2                                      deb
debian-keyring                                                                       2022.12.24                                          deb
debianutils                                                                          5.7-0.5~deb12u1                                     deb
desktop-base                                                                         12.0.6+nmu1~deb12u1                                 deb
desktop-file-utils                                                                   0.26-1                                              deb
deviceon                                                                             v2.0.9                                              go-module
dictionaries-common                                                                  1.29.5                                              deb
diffutils                                                                            1:3.8-4                                             deb
dirmngr                                                                              2.2.40-1.1+deb12u2                                  deb
distlib                                                                              0.3.6                                               python
distro                                                                               1.8.0                                               python
distro-info-data                                                                     0.58+deb12u6                                        deb
dmsetup                                                                              2:1.02.185-2                                        deb
dnsmasq-base                                                                         2.90-4~deb12u1                                      deb
docker-buildx-plugin                                                                 0.14.0-1~debian.12~bookworm                         deb
docker-ce                                                                            5:26.1.3-1~debian.12~bookworm                       deb
docker-ce-cli                                                                        5:26.1.3-1~debian.12~bookworm                       deb
docker-compose-plugin                                                                2.27.0-1~debian.12~bookworm                         deb
