ϵͳSN 		�忨SN
KSE0291993	AKAY351999 
KSE0294039	AKAY352800
KSE0294040	AKAY351534
KSE0294041	AKAY352090
KSE0294042	AKAY351601
KSE0294043	AKAY352534
KSE0294044	AKAY352535
KSE0294045	AKAY353196
KSE0294046	AKAY352758
KSE0294047	AKAY353438
KSE0294048	AKAY353439
KSE0294049	AKAY353240
KSE0294050	AKAY353437
KSE0294051	AKAY351306
KSE0294052	AKAY352085
KSE0294053	AKAY351638
KSE0294054	AKAY353248
KSE0294055	AKAY353249
KSE0294056	AKAY353239
KSE0294057	AKAY352515
KSE0294058	AKAY352512
KSE0294059	AKAY351458
KSE0294060	AKAY353495
KSE0294061	AKAY353753
KSE0294062	AKAY353499
KSE0294063	AKAY352086
KSE0294064	AKAY351304
KSE0294065	AKAY353250
KSE0294066	AKAY351603
KSE0294067	AKAY351305
KSE0294068	AKAY351602
KSE0294069	AKAY353310
KSE0294070	AKAY351476
KSE0294071	AKAY353233
KSE0294072	AKAY351475
KSE0294073	AKAY353804
KSE0294074	AKAY352252
KSE0294075	AKAY352826
KSE0294076	AKAY351784
KSE0294077	AKAY352084
KSE0294078	AKAY351785
KSE0294079	AKAY353235
KSE0294080	AKAY351786
KSE0294081	AKAY352827
KSE0294082	AKAY353646
KSE0294083	AKAY352830
KSE0294084	AKAY353644
KSE0294085	AKAY353645
KSE0294086	AKAY351747
KSE0294087	AKAY353544
KSE0294088	AKAY353022
KSE0294089	AKAY352693
KSE0294090	AKAY353649
KSE0294091	AKAY352696
KSE0294092	AKAY352825
KSE0294093	AKAY351994
KSE0294094	AKAY351596
KSE0294095	AKAY351586
KSE0294096	AKAY352088
KSE0294097	AKAY352089
KSE0294098	AKAY351587
KSE0294099	AKAY353449
KSE0294100	AKAY353369
KSE0294101	AKAY353368
KSE0294102	AKAY353451
KSE0294103	AKAY353450
KSE0294104	AKAY351588
KSE0294105	AKAY352771
KSE0294106	AKAY353542
KSE0294107	AKAY353370
KSE0294108	AKAY351673
KSE0294109	AKAY351675
KSE0294110	AKAY351674
KSE0294111	AKAY352659
KSE0294112	AKAY353778
KSE0294113	AKAY352834
KSE0294114	AKAY353776
KSE0294115	AKAY353777
KSE0294116	AKAY352773
KSE0294117	AKAY352661
KSE0294118	AKAY353538
KSE0294119	AKAY352657
KSE0294120	AKAY353805
KSE0294121	AKAY351905
KSE0294122	AKAY352660
KSE0294123	AKAY352727
KSE0294124	AKAY352733
KSE0294125	AKAY352262
KSE0294126	AKAY352261
KSE0294127	AKAY353803
KSE0294128	AKAY352658
KSE0294129	AKAY352333
KSE0294130	AKAY352726
KSE0294131	AKAY352728
KSE0294132	AKAY352734
KSE0294133	AKAY352263
KSE0294134	AKAY352732
KSE0294135	AKAY353295
KSE0294136	AKAY352290
KSE0294137	AKAY352289
KSE0294138	AKAY352306
KSE0294139	AKAY352339
KSE0294140	AKAY352340
KSE0294141	AKAY351484
KSE0294142	AKAY352260
KSE0294143	AKAY352259
KSE0294144	AKAY352334
KSE0294145	AKAY351485
KSE0294146	AKAY352335
KSE0294147	AKAY352341
KSE0294148	AKAY351486
KSE0294149	AKAY351505
KSE0294150	AKAY351510
KSE0294151	AKAY352299
KSE0294152	AKAY352298
KSE0294153	AKAY351787
KSE0294154	AKAY352307
KSE0294155	AKAY352288
KSE0294156	AKAY351779
KSE0294157	AKAY353294
KSE0294158	AKAY351780
KSE0294159	AKAY351519
KSE0294160	AKAY352723
KSE0294161	AKAY352725
KSE0294162	AKAY351789
KSE0294163	AKAY353575
KSE0294164	AKAY352277
KSE0294165	AKAY353577
KSE0294166	AKAY351749
KSE0294167	AKAY351522
KSE0294168	AKAY351609
KSE0294169	AKAY352772
KSE0294170	AKAY351518
KSE0294171	AKAY353231
KSE0294172	AKAY352014
KSE0294173	AKAY351699
KSE0294174	AKAY353232
KSE0294175	AKAY352297
KSE0294176	AKAY353638
KSE0294177	AKAY352338
KSE0294178	AKAY351480
KSE0294179	AKAY353640
KSE0294180	AKAY352336
KSE0294181	AKAY353230
KSE0294182	AKAY353639
KSE0294183	AKAY351479
KSE0294184	AKAY353151
KSE0294185	AKAY351478
KSE0294186	AKAY351504
KSE0294187	AKAY351502
KSE0294188	AKAY351477
KSE0294189	AKAY351509
KSE0294190	AKAY351506
KSE0294191	AKAY352258
KSE0294192	AKAY353309
KSE0294193	AKAY353308
KSE0294194	AKAY352254
KSE0294195	AKAY352824
KSE0294196	AKAY351746
KSE0294197	AKAY351508
KSE0294198	AKAY352823
KSE0294199	AKAY352253
KSE0294200	AKAY351507
KSE0294201	AKAY352731
KSE0294202	AKAY351515
KSE0294203	AKAY351516
KSE0294204	AKAY351514
KSE0294205	AKAY352003
KSE0294206	AKAY351745
KSE0294207	AKAY351778
KSE0294208	AKAY353234
KSE0294209	AKAY351788
KSE0294210	AKAY352928
KSE0294211	AKAY352730
KSE0294212	AKAY352729
KSE0294213	AKAY352695
KSE0294214	AKAY352764
KSE0294215	AKAY353293
KSE0294216	AKAY352698
KSE0294217	AKAY352697
KSE0294218	AKAY352493
KSE0294219	AKAY352529
KSE0294220	AKAY352684
KSE0294221	AKAY352763
KSE0294222	AKAY352692
KSE0294223	AKAY352691
KSE0294224	AKAY352685
KSE0294225	AKAY352530
KSE0294226	AKAY351533
KSE0294227	AKAY352495
KSE0294228	AKAY352496
KSE0294229	AKAY352798
KSE0294230	AKAY352522
KSE0294231	AKAY352502
KSE0294232	AKAY352742
KSE0294233	AKAY352737
KSE0294234	AKAY352524
KSE0294235	AKAY352523
KSE0294236	AKAY351536
KSE0294237	AKAY352741
KSE0294238	AKAY352501
KSE0294239	AKAY353440
KSE0294240	AKAY352503
KSE0294241	AKAY351455
KSE0294242	AKAY352796
KSE0294243	AKAY352917
KSE0294244	AKAY353746
KSE0294245	AKAY352915
KSE0294246	AKAY353113
KSE0294247	AKAY353115
KSE0294248	AKAY351456
KSE0294249	AKAY352836
KSE0294250	AKAY353694
KSE0294251	AKAY352950
KSE0294252	AKAY351642
KSE0294253	AKAY353442
KSE0294254	AKAY353759
KSE0294255	AKAY353441
